Article S/N,Country Code,Country,Region,Date,Journal,h Index,Title,,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Model,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,First Author's Institution,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Funding,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
65,35,Nigeria,West Africa,2020,Food Chem Toxicol. 2020 Jun 3:111478. doi: 10.1016/j.fct.2020.111478. Online ahead of print.,,Luteolin-Supplemented Diets Ameliorates Bisphenol A-Induced Toxicity in Drosophila melanogaster,,1,Primary,1,1,,0,Fruit flies,"Adesanoye OA, Abolaji AO, Faloye TR, Olaoye HO, Adedara AO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,
66,35,Nigeria,West Africa,2020,J Food Biochem. 2020 Jan 16:e13150. doi: 10.1111/jfbc.13150. Online ahead of print.,,"Solanum vegetable-based diets improve impairments in memory, redox imbalance, and altered critical enzyme activities in Drosophila melanogaster model of neurodegeneration",,1,Primary,1,0,USA,0,Fruit flies,"Ogunsuyi OB, Oboh G, Ã–zek G, GÃ¶ger F.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,1,1,,,1,Turkey,,,0,0,0,,,,,,,,,,,,,,,,
67,35,Nigeria,West Africa,2020,Comput Struct Biotechnol J. 2020 Mar 10;18:612-621. doi: 10.1016/j.csbj.2020.02.022. eCollection 2020.,,Essential gene prediction in Drosophila melanogaster using machine learning approaches based on sequence and functional features,,1,Primary,0,3,,0,Fruit flies,"Aromolaran O, Beder T, Oswald M, Oyelade J, Adebiyi E, Koenig R.",1,1,0,"Covenant University, Nigeria",Other Institutions,79,,,,,1,1,,,1,Germany,,,,1,2,,,,,,,Deutsche Forschungsgemein-schaft,DFS,Germany,,,,,,,
68,35,Nigeria,West Africa,2020,Drug Chem Toxicol. 2020 Jun 16:1-10. doi: 10.1080/01480545.2020.1773845. Online ahead of print.,,Characterization and neuroprotective properties of alkaloid extract of Vernonia amygdalina Delile in experimental models of Alzheimer's disease,,1,Primary,1,0,USA,1,Fruit flies,"Oboh G, Adedayo BC, Adetola MB, Oyeleye IS, Ogunsuyi OB.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,,,,Tertiary Educational Trust Fund (TETfund),1,1,,,,,,,,,,,,,,,,
69,35,Nigeria,West Africa,2020,,,"Comparative study of the phenolic profile, antioxidant properties, and inhibitory effects of Moringa (Moringa oleifera Lam.) and Almond (Terminalia catappa Linn.) leaves on acetylcholinesterase and monoamine oxidase activities in the head region of Fruitfly (Drosophila melanogaster Meigen) in vitro",,1,Primary,1,0,USA,0,Fruit flies,"Oyeniran OH, Ademiluyi AO, Oboh G.",1,2,1,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,Federal University of Oye,"FUO Uye, Nigeria",,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,
70,35,Nigeria,West Africa,2019,Biomed J. 2019 Oct;42(5):317-327. doi: 10.1016/j.bj.2019.01.005. Epub 2019 Oct 31.,,Influence of gallic and tannic acid on therapeutic properties of acarbose inÂ vitro and inÂ vivo in Drosophila melanogaster,,1,Primary,1,1,,0,Fruit flies,"Oboh G, Ogunsuyi OB, Adegbola DO, Ademiluyi AO, Oladun FL.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,,,,0,1,2,,,,,,,"Prince of Songkla University, Thailand",GSPSU,Thailand,,,,,,,
71,35,Nigeria,West Africa,2019,Pestic Biochem Physiol. 2019 Jun;157:161-168. doi: 10.1016/j.pestbp.2019.03.017. Epub 2019 Mar 28.,,Possible involvement of transcriptional activation of nuclear factor erythroid 2-related factor 2 (Nrf2) in the protective effect of caffeic acid on paraquat-induced oxidative damage in Drosophila melanogaster,,1,Primary,0,0,USA,0,Fruit flies,"Dos Santos Nunes RG, Pereira PS, Elekofehinti OO, Fidelis KR, da Silva CS, Ibrahim M, Barros LM, da Cunha FAB, Lukong KE, de Menezes IRA, Tsopmo A, Duarte AE, Kamdem JP.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,1,1,,,1,Brazil,Pakistan,Canada,,1,2,,,,,,, (PIBIC/ URCA),PIBIC/URCA,Brazil,The World Academy of Sciences,TWAS,Italy,The World Academy of Sciences,TWAS,Italy,
72,35,Nigeria,West Africa,2019,Exp Biol Med (Maywood). 2019 Dec;244(18):1688-1694. doi: 10.1177/1535370219890334. Epub 2019 Nov 25.,,"Protective role of resveratrol, a natural polyphenol, in sodium fluoride-induced toxicity in Drosophila melanogaster",,1,Primary,1,1,,0,Fruit flies,"Abolaji AO, Ajala VO, Adigun JO, Adedara IA, Kinyi HW, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,,Uganda,2,2,,,,,1,2,,,,,,,Company of Biologists/ DrosAfrica (UK),COB,UK,Cambridge-Africa Alborada Research Funds U.K,CAARF,UK,,,,
73,35,Nigeria,West Africa,2018,Biochem Biophys Res Commun. 2018 Sep 5;503(2):1042-1048. doi: 10.1016/j.bbrc.2018.06.114. Epub 2018 Jun 27.,,"Resveratrol prolongs lifespan and improves 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced oxidative damage and behavioural deficits in Drosophila melanogaster",,1,Primary,1,0,USA,0,Fruit flies,"Abolaji AO, Adedara AO, Adie MA, Vicente-Crespo M, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,1,,,1,Uganda,UK,,,1,2,,,,,,,International Society for Neurochemistry,ISN,USA,"Company of Biologists, UK",CB Uk,UK,"Cambridge Africa Alborada Research Funds, UK",CARF,UK,
74,35,Nigeria,West Africa,2018,Oxid Med Cell Longev. 2018 Dec 30;2018:8952646. doi: 10.1155/2018/8952646. eCollection 2018.,,Effect of Alkaloid Extract from African Jointfir (Gnetum africanum) Leaves on Manganese-Induced Toxicity in Drosophila melanogaster,,1,Primary,1,1,,0,Fruit flies,"Oboh G, Ogunsuyi OB, Awonyemi OI, Atoki VA.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,,,,,1,2,,,,,,,The World Academy of Sciences,TWAS,Italy,,,,,,,
75,35,Nigeria,West Africa,2018,Metab Brain Dis. 2018 Apr;33(2):369-375. doi: 10.1007/s11011-017-0100-7. Epub 2017 Aug 28.,,Curcumin-supplemented diets improve antioxidant enzymes and alter acetylcholinesterase genes expression level in Drosophila melanogaster model,,1,Primary,1,1,,0,Fruit flies,"Akinyemi AJ, Oboh G, Ogunsuyi O, Abolaji AO, Udofia A.",1,2,1," Afe Babalola University Ado-Ekiti, Nigeria",Other Institutions,79,"Federal University of Technology, Akure","FUTA Akure, Nigeria",,,,,,,0,,,,,1,2,,,,,,,IBRO/ARC bursary,IBRO,France,,,,,,,
76,35,Nigeria,West Africa,2018,Genes Cancer. 2018 Jan;9(1-2):1-10. doi: 10.18632/genesandcancer.168.,,Gastric cancer and Hedgehog signaling pathway: emerging new paradigms,,1,Primary,0,0,,0,Fruit flies,"Akyala AI, Peppelenbosch MP.",1,2,0,"Nasarawa State University Keffi Nasarawa, Nigeria",Other Institutions,79,,,,,1,1,,,1,Netherlands,,,TETFUND,1,1,,,,,,,,,,,,,,,,
77,35,Nigeria,West Africa,2018,Pestic Biochem Physiol. 2018 Feb;145:39-45. doi: 10.1016/j.pestbp.2018.01.002. Epub 2018 Jan 11.,,"Garcinia kola seed biflavonoid fraction (Kolaviron), increases longevity and attenuates rotenone-induced toxicity in Drosophila melanogaster",,1,Primary,1,0,USA,0,Fruit flies,"Farombi EO, Abolaji AO, Farombi TH, Oropo AS, Owoje OA, Awunah MT.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,,,,,0,,,,TETFUND National Research Fund (NRF),1,1,,,,,,,,,,,,,,,,
78,35,Nigeria,West Africa,2018,Food Sci Nutr. 2018 Oct 26;6(8):2177-2187. doi: 10.1002/fsn3.782. eCollection 2018 Nov.,,Effect of dietary inclusions of bitter kola seed on geotactic behavior and oxidative stress markers in Drosophila melanogaster,,1,Primary,1,1,,0,Fruit flies,"Oboh G, Ogunsuyi OB, Ojelade MT, Akomolafe SF.",1,2,1,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,Ekiti State University,"ESU Ado-Ekiti, Nigeria",,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,
79,35,Nigeria,West Africa,2018,Neuroscience. 2018 Mar 15;374:323-325. doi: 10.1016/j.neuroscience.2018.01.062. Epub 2018 Feb 8.,,Advancing Neuroscience Research in Africa: Invertebrate Species to the Rescue,,0,Primary,0,0,,0,Fruit flies,"Balogun WG, Cobham AE, Amin A, Seeni A.",0,2,1,"University of Calabar, Nigeria",Other Institutions,79,University of Ilorin,"UI Ibadan, Nigeria",,,1,1,,,1,Malaysia,Australia,Portugal,0,1,2,,,,,,,,,,,,,,,,
80,35,Nigeria,West Africa,2018,Genes (Basel). 2018 Mar 2;9(3):140. doi: 10.3390/genes9030140.,,Pyrethroid Resistance in the Major Malaria Vector Anopheles funestus is Exacerbated by Overexpression and Overactivity of the P450 CYP6AA1 Across Africa,,1,Primary,0,0,USA,1,Fruit flies,"Ibrahim SS, Amvongo-Adjia N, Wondji MJ, Irving H, Riveron JM, Wondji CS.",1,4,0,"Bayero University Kano, Nigeria",Other Institutions,79,,,,,1,1,Cameron,2,3,UK,,,,1,2,,,,,,,Wellcome Trust,WT,UK,Wellcome Trust,WT,UK,,,,
81,35,Nigeria,West Africa,2017,Cell Biochem Funct. 2017 Apr;35(3):164-170. doi: 10.1002/cbf.3259. Epub 2017 Mar 16.,,Dietary consumption of monosodium L-glutamate induces adaptive response and reduction in the life span of Drosophila melanogaster,,1,Primary,1,0,Brasil,0,Fruit flies,"Abolaji AO, Olaiya CO, Oluwadahunsi OJ, Farombi EO.",1,2,1,"University of Ibadan, Nigeria","UI, Nigeria",12,Adekunle Ajasin University,"AAU, Ondo Nigeria",,,,,,,0,,,,0,1,2,,,,,,,,,,,,,,,,
82,35,Nigeria,West Africa,2017,Environ Toxicol Pharmacol. 2017 Oct;55:202-207. doi: 10.1016/j.etap.2017.08.038. Epub 2017 Sep 1.,,"Hesperidin, a citrus bioflavonoid, alleviates trichloroethylene-induced oxidative stress in Drosophila melanogaster",,1,Primary,1,0,Brasil,0,Fruit flies,"Abolaji AO, Babalola OV, Adegoke AK, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,,,,,0,,,,0,1,2,,,,,,,,,,,,,,,,
83,35,Nigeria,West Africa,2016,Metab Brain Dis. 2016 Oct;31(5):1003-10. doi: 10.1007/s11011-016-9876-0. Epub 2016 Jul 22.,,"Sweet old memories: a review of the experimental models of the association between diabetes, senility and dementia",,0,Primary,1,0,,0,Fruit flies,Akinola OB.,1,1,0,"University of Ilorin, Nigeria",Other Institutions,79,,,,,,,,,0,,,,0,1,2,,,,,,,,,,,,,,,,
84,35,Nigeria,West Africa,2016,Neurochem Res. 2016 Jun;41(6):1430-8. doi: 10.1007/s11064-016-1852-x. Epub 2016 Feb 15.,,"Diphenyl Diselenide Protects Against Mortality, Locomotor Deficits and Oxidative Stress in Drosophila melanogaster Model of Manganese-Induced Neurotoxicity",,1,Primary,0,0,USA,0,Fruit flies,"Adedara IA, Abolaji AO, Rocha JB, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,1,,,1,Brazil,,,,1,2,,,,,,,The World Academy of Sciences,TWAS,Italy,,,,,,,
85,35,Nigeria,West Africa,2015,Redox Biol. 2015 Aug;5:328-339. doi: 10.1016/j.redox.2015.06.001. Epub 2015 Jun 4.,,"Ovotoxicants 4-vinylcyclohexene 1,2-monoepoxide and 4-vinylcyclohexene diepoxide disrupt redox status and modify different electrophile sensitive target enzymes and genes in Drosophila melanogaster",,1,Primary,0,0,USA,0,Fruit flies,"Abolaji AO, Kamdem JP, Lugokenski TH, Farombi EO, Souza DO, da Silva Loreto Ã‰L, Rocha JBT.",1,4,1,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,1,,,1,Brazil,,,,1,2,,,,,,,The World Academy of Sciences,TWAS,Italy,CAPES,CAPES,Brazil,FAPERGS,FAPERGS,Portugal,Rede Brasileira de Neurociências
86,35,Nigeria,West Africa,2015,J Trace Elem Med Biol. 2015 Oct;32:52-9. doi: 10.1016/j.jtemb.2015.05.003. Epub 2015 May 22.,,Influence of diphenyl diselenide on chlorpyrifos-induced toxicity in Drosophila melanogaster,,1,Primary,0,0,USA,0,Fruit flies,"Adedara IA, Klimaczewski CV, Barbosa NB, Farombi EO, Souza DO, Rocha JB.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,1,,,1,Brazil,,,,1,2,,,,,,,The World Academy of Sciences,TWAS,Italy,FAPERGS-PRONEX-CNPQ,,,CNP-SWB,CNP-SWB,Indonesia,
88,35,Nigeria,West Africa,2014,Free Radic Biol Med. 2014 Jun;71:99-108. doi: 10.1016/j.freeradbiomed.2014.03.014. Epub 2014 Mar 26.,,Involvement of oxidative stress in 4-vinylcyclohexene-induced toxicity in Drosophila melanogaster,,1,Primary,0,0,USA,0,Fruit flies,"Abolaji AO, Kamdem JP, Lugokenski TH, Nascimento TK, Waczuk EP, Farombi EO, Loreto Ã‰L, Rocha JB.",1,3,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,1,,,1,Brazil,,,,1,2,,,,,,,The World Academy of Sciences,TWAS,Italy,CAPES,CAPES,Brazil,FAPERGS,FAPERGS,Portugal,Rede Brasileira de Neurociências
89,35,Nigeria,West Africa,2007,Vector Borne Zoonotic Dis. 2007 Summer;7(2):107-17. doi: 10.1089/vbz.2006.0539.,,"Some aspects of epidemiology of filth flies: Musca domestica, Musca domestica vicina, Drosophilia melanogaster and associated bacteria pathogens in Ekpoma, Nigeria",,1,Primary,1,1,,0,Fruit flies,"Nmorsi OP, Agbozele G, Ukwandu NC.",0,1,0,"Ambrose Alli University, Nigeria",Other Institutions,79,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,
90,35,Nigeria,West Africa,2003,Res Microbiol. 2003 Apr;154(3):183-9. doi: 10.1016/S0923-2508(03)00040-8.,,Invasion of insect blood tissue by Xenorhabdus bovienii,,1,Primary,0,0,,0,Fruit flies,Owuama CI.,0,1,0,"Federal University of Technology Yola, Nigeria",Other Institutions,79,,,,,1,1,,,1,Australia,,,0,0,0,,,,,,,,,,,,,,,,
159,35,Nigeria,West Africa,2020,Toxicol Res (Camb),,D-Penicillamine prolongs survival and lessens copper-induced toxicity in Drosophila melanogaster,,1,1,1,0,USA,0,Fruit flies,"Abolaji AO, Fasae KD, Iwezor CE, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
160,35,Nigeria,West Africa,2020,J Basic Clin Physiol Pharmacol,,Solanum leaves extracts exhibit antioxidant properties and inhibit monoamine oxidase and acetylcholinesterase activities (in vitro) in Drosophila melanogaster,,1,1,1,0,USA,0,Fruit flies,"Ogunsuyi OB, Ademiluyi AO, Oboh G.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,Belgium,,,,0,0,,,,,,,,,,,,,,,,
87,35,Nigeria,West Africa,2014,J Insect Sci. 2014;14:126. doi: 10.1093/jis/14.1.126.,,"Effect of temperature on the development and survival of immature stages of the carambola fruit fly, Bactrocera carambolae, and the Asian papaya fruit fly, Bactrocera papayae, reared on guava diet",,1,Primary,0,1,,0,Fruit flies,"Danjuma S, Thaochan N, Permkam S, Satasook C.",0,1,0,"Ibrahim Badamasi Babangida University, Nigeria",Other Institutions,79,,,,,1,1,,,1,Thailand,,,"Education Trust Fund (ETF), Nigeria",1,1,ETF Nigeria,ETF Nigeria, Nigeria,,,,,,,,,,,,,
92,44,South Africa,Southaern Africa,2020,Behav Brain Res,,Dopaminergic and serotonergic modulation of social reward appraisal in zebrafish (Danio rerio) under circumstances of motivational conflict: Towards a screening test for anti-compulsive drug action,,1,Primary,1,0,Singapore,0,Zebrafish,,1,1,,"North-West University, South Africa",NWU South Africa,6,,,,,1,1,,,1,Germany,,,,0,0,,,,,,,,,,,,,,,,
93,44,South Africa,Southaern Africa,2020,Sci Rep,,"Polyethylene glycol (5,000) succinate conjugate of lopinavir and its associated toxicity using Danio rerio as a model organism",,1,Primary,1,1,,0,Zebrafish,,0,1,,"North-West University, South Africa",NWU South Africa,6,,,,,,,,,0,,,,2,1,1,Sasol Inzalo Foundation,"SIF, South Africa",South Africa,National Research Foundation South Africa ,"NRF, South Africa ",South Africa ,,,,,,,,,,
94,44,South Africa,Southaern Africa,2019,,,How toxic is a non-toxic nanomaterial: Behaviour as an indicator of effect in Danio rerio exposed to nanogold,,1,Primary,1,1,,0,Zebrafish,"Botha TL, Brand SJ, Ikenaka Y, Nakayama SMM, Ishizuka M, Wepener V.",0,2,1,"North-West University, South Africa",NWU South Africa,6,University of Johannesburg,"UOJ Johannesburg, South Africa",,,1,1,,,1,Japan,,,4,1,3,"North-West University, South Africa",NWU South Africa,,,,,"Ministry of Education, Culture, Sports, Science and
Technology of Japan",MECSST Japan,Japan,The foundation of JSPS Core to Core Program,JSPSCCP,Japan,"Bilateral Joint
Research Project",,,
95,44,South Africa,Southaern Africa,2019,Environ Monit Assess,,"Cultivable bacterial diversity, physicochemical profiles, and toxicity determination of car wash effluents",,1,Primary,1,1,,0,Zebrafish,,0,1,,"University of South Africa, South Africa",Other Institutions,79,,,,,1,,Namibia,2,2,,,,1,1,1,University of South Africa,USA South Africa,South Africa,,,,,,,,,,,,,
96,44,South Africa,Southaern Africa,2019,Toxicol Lett,,Effect of pH on the toxicity of fumonisins towards the RTL-W1 cell line and zebrafish (Danio rerio) embryos,,1,Primary,1,1,,0,Zebrafish,,0,1,,"Tshwane University of Technology, South Africa",Other Institutions,79,,,,,1,1,,,1,Germany,,,2,1,1,The South African Maize Trust,SAMT South Africa,South Africa,Tshwane University of Technology,"TUT, South Africa ",South Africa ,,,,,,,,,,
109,44,South Africa,Southaern Africa,2013,Acta Histochem,,DNA and RNA pattern of staining during oogenesis in zebrafish (Danio rerio): a confocal microscopy study,,1,Primary,1,1,,0,Zebrafish,,0,1,,"Walter Sisulu University, South Africa",Other Institutions,79,,,,,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of the Witwatersrand,"UW, South Africa ",South Africa ,,,,,,,,,,
112,44,South Africa,Southaern Africa,2012,Acta Histochem,,Spectrin labeling during oogenesis in zebrafish (Danio rerio),,1,Primary,1,1,UK,0,Zebrafish,,0,2,1,"Walter Sisulu University, South Africa",Other Institutions,79,University of the Witwatersrand,"UW Witwatersrand, South Africa",,,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of the Witwatersrand,"UW, South Africa ",South Africa ,,,,,,,,,,
161,44,South Africa,Southaern Africa,2020,Aquat Toxicol,,Acute exposure to environmentally relevant lead levels induces oxidative stress and neurobehavioral alterations in larval zebrafish (Danio rerio),,1,1,1,1,,0,Zebrafish,"Kataba A, Botha TL, Nakayama SMM, Yohannes YB, Ikenaka Y, Wepener V, Ishizuka M.",1,4,0,"North-West University, South Africa",NWU South Africa,6,,,,,,,,,0,UK,Germany,,,0,0,,,,,,,,,,,,,,,,
97,44,South Africa,Southaern Africa,2019,Comp Biochem Physiol A Mol Integr Physiol. 2019 Oct;236:110532. doi: 10.1016/j.cbpa.2019.110532. Epub 2019 Jul 24.,,Exploring thermal flight responses as predictors of flight ability and geographic range size in Drosophila,,1,primary,1,1,,0,Fruit flies,"De Araujo LI, Karsten M, Terblanche JS.",0,1,0,"Stellenbosch University, South Africa","SU, South Africa",9,,,,,0,,,,0,,,,,0,2,,,,,,,"DST-NRF Centre of Excellence for Invasion Biology (C?I?B), Stellenbosch University, South Africa.",,,SATI,,,,,,
99,44,South Africa,Southaern Africa,2018,J Insect Physiol,,A transcriptomics assessment of oxygen-temperature interactions reveals novel candidate genes underlying variation in thermal tolerance and survival,,1,primary,1,1,0,0,Fruit flies,"Boardman L, Mitchell KA, Terblanche JS, SÃ¸rensen JG.",0,2,0,"Stellenbosch University, South Africa","SU, South Africa",9,,,,,1,1,,,1,denmark,,,,0,0,,,,,,,,,,,,,,,,
101,44,South Africa,Southaern Africa,2017,PLoS One. 2017 Sep 13;12(9):e0183858. doi: 10.1371/journal.pone.0183858. eCollection 2017.,,"Hsp70/J-protein machinery from Glossina morsitans morsitans, vector of African trypanosomiasis",,1,primary,1,,,,Fruit flies,"Bentley SJ, Boshoff A.",0,2,0,"Rhodes University, South Africa",Other Institutions,79,,,,,1,,,,0,,,,,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
102,44,South Africa,Southaern Africa,2016,J Evol Biol. 2011 Sep;24(9):1927-38. doi: 10.1111/j.1420-9101.2011.02324.x. Epub 2011 Jun 10.,,Basal cold but not heat tolerance constrains plasticity among Drosophila species (Diptera: Drosophilidae),,1,primary,1,1,canada,0,Fruit flies,"Nyamukondiwa C, Terblanche JS, Marshall KE, Sinclair BJ.",1,2,0,"Stellenbosch University, South Africa","SU, South Africa",9,,,,,1,,,,0,,,,,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
104,44,South Africa,Southaern Africa,2015,Int J Mol Sci. 2015 May 6;16(5):10242-66. doi: 10.3390/ijms160510242.,,The Drosophila retinoblastoma binding protein 6 family member has two isoforms and is potentially involved in embryonic patterning,,1,primary,1,1,0,0,Fruit flies,"Hull R, Oosthuysen B, Cajee UF, Mokgohloa L, Nweke E, Antunes RJ, Coetzer TH, Ntwasa M.",1,2,1,"University of the Witwatersrand, South Africa",Other Institutions,79,University of KwaZulu-Natal (Pietermaritzburg campus),,,,0,,,,0,,,,,0,2,,,,,,,The Carnegie Corporation Transformation Program,,,,,,,,,
105,44,South Africa,Southaern Africa,2015,Eur J Neurosci. 2015 May;41(9):1113-25. doi: 10.1111/ejn.12872. Epub 2015 Mar 11.,,"Evidence for a common biological pathway linking three Parkinson's disease-causing genes: parkin, PINK1 and DJ-1",,1,review,1,,,,Fruit flies,"van der Merwe C, Jalali Sefid Dashti Z, Christoffels A, Loos B, Bardien S.",1,2,1,"Stellenbosch University, South Africa","SU, South Africa",9,University of the Western Cape.,,,,0,,,,0,,,,,1,1,South African Medical Research council,MRC South Africa,South Africa,Harry Crossley Foundation,,,,,,,,,,,,
