Article S/N,Country Code,Country,Region,Date,Journal,h Index,Title,,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Model,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,First Author's Institution,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Funding,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
106,44,South Africa,Southaern Africa,2014,PLoS Negl Trop Dis. 2014 Apr 24;8(4):e2663. doi: 10.1371/journal.pntd.0002663. eCollection 2014 Apr.,,Odorant and gustatory receptors in the tsetse fly Glossina morsitans morsitans,,1,review,1,,,,Fruit flies,"Obiero GF, Mireji PO, Nyanjom SR, Christoffels A, Robertson HM, Masiga DK.",1,4,0,"University of the Western Cape, Bellville, South Africa",Other Institutions,79,,,,,1,1,Kenya,2,3,kenya,USA,,,1,3,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,German Academic Exchange Service,DAAD,Germany,,,,,,,
107,44,South Africa,Southaern Africa,2014,Front Genet. 2014 Aug 6;5:264. doi: 10.3389/fgene.2014.00264. eCollection 2014.,,The use of semantic similarity measures for optimally integrating heterogeneous Gene Ontology data from large scale annotation pipelines,,1,primary,1,,,,Fruit flies,"Mazandu GK, Mulder NJ.",0,1,0,"University of Cape Town, South Africa",Other Institutions,79,,,,,0,,,,0,,,,,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
110,44,South Africa,Southaern Africa,2013,Naturwissenschaften. 2013 Mar;100(3):281-4. doi: 10.1007/s00114-013-1023-8. Epub 2013 Feb 23.,,Ontogenetic variation in cold tolerance plasticity in Drosophila: is the Bogert effect bogus?,,1,primary,1,1,,0,Fruit flies,"Mitchell KA, Sinclair BJ, Terblanche JS.",1,1,0,"Stellenbosch University, South Africa","SU, South Africa",9,,,,,0,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
113,44,South Africa,Southaern Africa,2011,J Exp Biol. 2011 Nov 15;214(Pt 22):3713-25. doi: 10.1242/jeb.061283.,,Ecologically relevant measures of tolerance to potentially lethal temperatures,,1,review,1,0,,,Fruit flies,"Terblanche JS, Hoffmann AA, Mitchell KA, Rako L, le Roux PC, Chown SL.",0,1,,"Stellenbosch University, South Africa","SU, South Africa",9,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
115,44,South Africa,Southaern Africa,2010,Biol Rev Camb Philos Soc. 2010 Feb;85(1):139-69. doi: 10.1111/j.1469-185X.2009.00097.x. Epub 2009 Dec 10.,,Body size variation in insects: a macroecological perspective,,1,review,1,0,0,0,Fruit flies,"Chown SL, Gaston KJ.",0,2,0,"Stellenbosch University, South Africa","SU, South Africa",9,,,,,1,1,,,1,UK,,,,0,0,,,,,,,,,,,,,,,,
116,44,South Africa,Southaern Africa,2010,Anticancer Drugs. 2010 Nov;21(10):945-57. doi: 10.1097/CAD.0b013e32833e2f60.,,Glycolytic flux occurs in Drosophila melanogaster recovering from camptothecin treatment,,1,primary,1,1,,0,Fruit flies,"Hull R, Ntwasa MM.",0,1,0,"University of the Witwatersrand, South Africa",Other Institutions,79,,,,,1,1,,,1,canada,,,,1,2,,,,NSERC Discovery grants to BJS,,,Canadian Foundation for Innovation,,,Foreign Affairs and International Trade Canada (DFAIT) grant to CN,,,,,,
119,44,South Africa,Southaern Africa,2006,Oecologia. 2006 Aug;149(2):245-55. doi: 10.1007/s00442-006-0434-z. Epub 2006 Jun 14.,,Body size patterns in Drosophila inhabiting a mesocosm: interactive effects of spatial variation in temperature and abundance,,1,primary,1,1,,0,Fruit flies,"Warren M, McGeoch MA, Nicolson SW, Chown SL.",0,1,0,"University of Pretoria, South Africa",UP South Africa,6,,,,,,,,,0,,,,,1,3,South African Medical Research council,MRC South Africa,South Africa,,,,Griffin Cancer Trust.,GCT UK,UK,,,,,,,
120,44,South Africa,Southaern Africa,2005,Biochim Biophys Acta. 2005 Mar 10;1727(3):169-76. doi: 10.1016/j.bbaexp.2005.01.002. Epub 2005 Jan 28.,,"SNAMA, a novel protein with a DWNN domain and a RING finger-like motif: a possible role in apoptosis",,1,primary,1,0,uk,1,Fruit flies,"Mather A, Rakgotho M, Ntwasa M.",0,1,0,"University of the Witwatersrand, South Africa",Other Institutions,79,,,,,0,,,,0,,,,,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
121,44,South Africa,Southaern Africa,2004,Cell Mol Life Sci. 2004 Nov;61(21):2677-86. doi: 10.1007/s00018-004-4239-0.,,Structure of angiotensin I-converting enzyme,,1,review,1,,,,Fruit flies,"Sturrock ED, Natesh R, van Rooyen JM, Acharya KR.",0,2,0,"University of Cape Town, South Africa",Other Institutions,79,,,,,1,1,,,1,UK,,,,1,3,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,Wellcome Trust,WT,UK,,,,,,,
91,44,South Africa,Southaern Africa,2020,Sci Rep,,Oxygen consumption rate of Caenorhabditis elegans as a high-throughput endpoint of toxicity testing using the Seahorse XF(e)96 Extracellular Flux Analyzer,,1,Primary,1,0,USA,1,C. elegans,,0,6,2,"North-West University, South Africa",NWU South Africa,6,Agricultural Research Council,ARC South Africa,,,1,1,,,1,Germany,Czech Republic,,,0,0,,,,,,,,,,,,,,,,
98,44,South Africa,Southaern Africa,2018,J Toxicol,,Sublethal Effects of Ionic and Nanogold on the Nematode Caenorhabditis elegans,,1,Primary,1,0,USA,1,C. elegans,,0,1,0,"North-West University, South Africa",NWU South Africa,6,,,,,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,Department of Science and Technology’s Nanogold Research Programme.,DSTNRP,,,,,,,,,,,
100,44,South Africa,Southaern Africa,2017,BMC Vet Res,,The use of primary murine fibroblasts to ascertain if Spirocerca lupi secretory/excretory protein products are mitogenic ex vivo,,1,Primary,1,1,,0,C. elegans,,0,1,,"University of Pretoria, South Africa",UP South Africa,6,,,,,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of Pretoria ,"UP, South Africa ",South Africa ,,,,,,,,,,
103,44,South Africa,Southaern Africa,2015,Front Pharmacol,,"Antimicrobial, Anthelmintic Activities and Characterisation of Functional Phenolic Acids of Achyranthes aspera Linn.: A Medicinal Plant Used for the Treatment of Wounds and Ringworm in East Africa",,1,Primary,1,1,,1,C. elegans,,0,2,1,"University of KwaZulu-Natal, South Africa",Other Institutions,79,Agricultural Research Council,ARC South Africa,,,1,1,,,1,Palack? University,Czech Republic,,4,1,3,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa," University of
KwaZulu-Natal, South Africa ","UKNSA, South Africa ",South Africa ,"Ministry of Education
Youth and Sports, Czech Republic",MEYS Czech Republic,Czech Republic,Palacky University,PU,Czech Republic,,,,
108,44,South Africa,Southaern Africa,2013,Comp Biochem Physiol Part D Genomics Proteomics,,The Leu-Arg-Glu (LRE) adhesion motif in proteins of the neuromuscular junction with special reference to proteins of the carboxylesterase/cholinesterase family,,1,Primary,1,3,,,C. elegans,,0,1,,"Stellenbosch University, South Africa","SU, South Africa",9,,,,,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,Medical Research Council of South Africa,MRC South Africa ,South Africa ,,,,,,,,,,
111,44,South Africa,Southaern Africa,2012,J Ethnopharmacol,,"Pharmacological, genotoxic and phytochemical properties of selected South African medicinal plants used in treating stomach-related ailments",,1,Primary,1,1,,0,C. elegans,,0,1,,"University of KwaZulu-Natal, South Africa",Other Institutions,79,,,,,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of KwaZulu-Natal ,"UKN, South Africa ",,,,,,,,,,,
114,44,South Africa,Southaern Africa,2010,J Ethnopharmacol,,"In vitro antimicrobial, anthelmintic and cyclooxygenase-inhibitory activities and phytochemical analysis of Leucosidea sericea",,1,Primary,1,1,,1,C. elegans,,0,1,,"University of KwaZulu-Natal, South Africa",Other Institutions,79,,,,,1,1,,,1,Australia,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of KwaZulu-Natal,"UKN, South Africa ",,,,,,,,,,,
117,44,South Africa,Southaern Africa,2009,Onderstepoort J Vet Res,,Curtisia dentata (Cornaceae) leaf extracts and isolated compounds inhibit motility of parasitic and free-living nematodes,,1,Primary,1,1,,0,C. elegans,,0,3,1,"University of Pretoria, South Africa",UP South Africa,6,University of Limpopo,UL Limpopo South Africa,University of South Africa,USA,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,Claude Leon Foundation,"CLF, South Africa ",South Africa ,,,,,,,,,,
118,44,South Africa,Southaern Africa,2007,Vet J,,"In vitro anthelmintic, antibacterial and cytotoxic effects of extracts from plants used in South African ethnoveterinary medicine",,1,Primary,1,1,,0,C. elegans,,0,2,1,"University of Pretoria, South Africa",UP South Africa,6,ARC-Onderstepoort Veterinary Institute,ARC OVI South Africa,,,,,,,0,,,,2,1,1,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,University of Pretoria ,"UP, South Africa ",South Africa ,,,,,,,,,,
122,44,South Africa,Southaern Africa,2000,J Ethnopharmacol,,"Antibacterial, anthelmintic and anti-amoebic activity in South African medicinal plants",,1,Primary,1,1,,0,C. elegans,,0,1,,"University of KwaZulu-Natal, South Africa",Other Institutions,79,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
162,44,South Africa,Southaern Africa,2020,J Insect Physiol,,"Selection on age of female reproduction in the marula fruit fly, Ceratitis cosyra (Walker) (Diptera: Tephritidae), decreases total antioxidant capacity and lipid peroxidation",,1,1,1,1,,0,Fruit flies,"Malod K, Roets PD, Oosthuizen C, Blount JD, Archer CR, Weldon CW.",0,3,0,"University of Pretoria, South Africa",UP South Africa,6,,,,,,1,,,1,Czechia,,,1,1,1,National Research Foundation ,,South Africa,,,,,,,,,,,,,
163,44,South Africa,Southaern Africa,2020,Front Endocrinol (Lausanne),,"The Adipokinetic Peptides in Diptera: Structure, Function, and Evolutionary Trends",,1,1,1,1,,0,Fruit flies,"Gäde G, Šimek P, Marco HG.",0,2,0,"University of Cape Town, South Africa",Other Institutions,79,,,,,,1,,,1,Germany,,,3,1,3,the National Research Foundation ,,South Africa,University of Cape Town,,South Africa,the Czech Science Foundation,,Czech,,,,,,,
164,44,South Africa,Southaern Africa,2020,Sci Rep,,Exploring the role of host specialisation and oxidative stress in interspecific lifespan variation in subtropical tephritid flies,,1,1,1,1,,0,Fruit flies,"Malod K, Archer CR, Karsten M, Cruywagen R, Howard A, Nicolson SW, Weldon CW.",0,3,1,"University of Pretoria, South Africa",UP South Africa,6,Stellenbosch University,,,,,1,,,1,,,,1,1,1,National Research Foundation,,South Africa,,,,,,,,,,,,,
165,44,South Africa,Southaern Africa,2020,Bull Entomol Res,,Comparative demography of Bactrocera dorsalis (Hendel) and Ceratitis capitata (Wiedemann) (Diptera: Tephritidae) on deciduous fruit,,1,1,1,1,,0,Fruit flies,"Pieterse W, Manrakhan A, Terblanche JS, Addison P.",0,2,1,"Stellenbosch University, South Africa","SU, South Africa",9,Citrus Research International,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
167,48,Tanzania,East Africa,2020,Toxicon,,Isolation of the Tephrosia vogelii extract and rotenoids and their toxicity in the RTgill-W1 trout cell line and in zebrafish embryos,,1,1,0,0,Norway,0,Zebrafish,"Said AH, Solhaug A, Sandvik M, Msuya FE, Kyewalyanga MS, Mmochi AJ, Lyche JL, Hurem S.",0,4,1,The University of Dodoma,Other Institutions,79,University of Dar es Salaam,,,,,1,,,1,Germany,,,1,1,2,,,,,,,Norwegian Agency for Development Cooperation,NORAD,Norway,,,,,,,
166,48,Tanzania,East Africa,2020,Neurotoxicology,,Ameliorative effects of flavonoids and polyketides on the rotenone induced Drosophila model of Parkinson's disease,,1,1,1,0,Spain,1,Fruit flies,"Siima AA, Stephano F, Munissi JJE, Nyandoro SS.",1,1,0,University of Dar es Salaam,Other Institutions,79,,,,,,,,,0,Norway,,,1,1,1,University of Dar es Salaam,UDSM,,,,,,,,,,,,,,
123,48,Tanzania,East Africa,2015,J Insect Sci,,Developmental Biology of Zeugodacus cucurbitae (Diptera: Tephritidae) in Three Cucurbitaceous Hosts at Different Temperature Regimes,,1,Primary,1,1,,0,Fruit flies,Zeugodacus cucurbitae,0,2,1,"LZARDI, Tanzania",Other Institutions,79,"sokoine university of agriculture SUA, Tanzania","SUA Sokoine, Tanzania",,,,,,,0,,,,2,1,3,Government of united republic of tanzania ,GURT Tanzania ,Tanzania,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,,,,
124,48,Tanzania,East Africa,2015,Zookeys,,"Niche partitioning among two Ceratitis rosa morphotypes and other Ceratitis pest species (Diptera, Tephritidae) along an altitudinal transect in Central Tanzania",,1,Primary,1,1,,0,Fruit flies,Ceratitis rosa,0,2,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,5,,,,,1,,,,0,,Belgium,,2,1,2,,,,,,,FAO,FAO,Italy,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,
125,48,Tanzania,East Africa,2014,Bull Entomol Res,,"Dominance of an invasive fruit fly species, Bactrocera invadens, along an altitudinal transect in Morogoro, Eastern Central Tanzania",,1,Primary,1,1,,0,Fruit flies,Bactrocera invadens,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,5,,,,,1,,,,0,,Belgium,,2,1,2,,,,,,,flemish inter-university council VLIR  ,FIUS,Belgium,Belgium development cooperation,BDC,Belgium,,,,
126,48,Tanzania,East Africa,2012,J Insect Sci,,Indigenous and invasive fruit fly diversity along an altitudinal transect in Eastern Central Tanzania,,1,Primary,1,1,,0,Fruit flies,Diptera tephritidae,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,5,,,,,1,,,,0,,Belgium,,,0,0,,,,,,,,,,,,,,,,
127,48,Tanzania,East Africa,2010,J Econ Entomol,,"Host use of Bactrocera latifrons, a new invasive tephritid species in Tanzania",,1,Primary,1,1,,0,Fruit flies,Bactrocera latifrons,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,5,,,,,1,,,,0,,Belgium,,2,1,2,,,,,,,Belgian technical cooperation  ,BTC,Belgium,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,
128,48,Tanzania,East Africa,2009,Bull Entomol Res,,"Host range and distribution of fruit-infesting pestiferous fruit flies (Diptera, Tephritidae) in selected areas of Central Tanzania",,1,Primary,1,1,,0,Fruit flies,Diptera tephritidae,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,5,,,,,1,,,,0,,Belgium,,1,1,2,,,,,,,Belgium development cooperation,BDC,Belgium,,,,,,,
129,51,Tunisia,North Africa,2020,Dev Genes Evol,,Gene duplication and functional divergence of the zebrafish otospiralin genes,,1,Primary,1,1,,0,Zebrafish,,0,1,0,"Center of Biotechnology of Sfax, Tunisia",Other Institutions,79,,,,,1,1,,,1,Germany,,,2,1,3,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,,,,German Ministry for Economic Cooperation and Development ,GMECD,Germany,,,,,,,
138,51,Tunisia,North Africa,2011,Biometals,,Mechanisms underlying the protective effect of zinc and selenium against cadmium-induced oxidative stress in zebrafish Danio rerio,,1,Primary,1,1,,0,Zebrafish,,0,2,1,"Université de Sousse, Tunisia",Other Institutions,79,Université de Monastir,"UM, Monastir Tunisia",,,,,,,0,,,,3,1,1,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,University of Sousse,"US, Tunisia",Tunisia,,,,,,,,,,
139,51,Tunisia,North Africa,2011,Chem Biol Interact,,Cadmium-induced ovarian pathophysiology is mediated by change in gene expression pattern of zinc transporters in zebrafish (Danio rerio),,1,Primary,1,1,,0,Zebrafish,,0,2,1,"Université de Sousse, Tunisia",Other Institutions,79,Université de Monastir,"UM, Monastir Tunisia",,,,,,,0,,,,3,1,1,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,University of Sousse,"US, Tunisia",Tunisia,,,,,,,,,,
132,51,Tunisia,North Africa,2018,Hum Mutat,,In vitro functional characterization of the novel DHH mutations p.(Asn337Lysfs*24) and p.(Glu212Lys) associated with gonadal dysgenesis,,1,Primary,1,1,,0,Fruit flies,,0,5,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",5,Charles Nicolle Hospital,CNH Tunisia,,,2,,,,0,,Germany,Germany,1,1,2,,,,,,,"University of luebeck, Germany ",UL,Germany,,,,,,,
130,51,Tunisia,North Africa,2019,Med Biol Eng Comput,,The Helitron family classification using SVM based on Fourier transform features applied on an unbalanced dataset,,1,Primary,1,3,,0,C. elegans,,0,2,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",5,University of Carthage,"UC Carthage, Tunisia",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
134,51,Tunisia,North Africa,2015,Med Biol Eng Comput,,A new way to visualize DNA's base succession: the Caenorhabditis elegans chromosome landscapes,,1,Primary,1,3,,0,C. elegans,,0,2,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",5,University of Carthage,"UC Carthage, Tunisia",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
135,51,Tunisia,North Africa,2015,Proteins,,Exploring proteome-wide occurrence of clusters of charged residues in eukaryotes,,1,Primary,1,3,,0,C. elegans,,0,1,0,"Center of Biotechnology of Sfax, Tunisia",Other Institutions,79,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
136,51,Tunisia,North Africa,2014,EURASIP J Bioinform Syst Biol,,Wavelet analysis of frequency chaos game signal: a time-frequency signature of the C. elegans DNA,,1,Primary,1,3,,0,C. elegans,,0,2,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",5,University of Carthage,"UC Carthage, Tunisia",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
131,51,Tunisia,North Africa,2018,PLoS One,,Evaluation of Providencia rettgeri pathogenicity against laboratory Mediterranean fruit fly strain (Ceratitis capitata),,1,Primary,1,1,,1,Fruit flies,,0,2,0,"National centre of nuclear sciences and technologies, Tunisia",Other Institutions,79,,,,,1,,,,0,,France,,,0,0,,,,,,,,,,,,,,,,
133,51,Tunisia,North Africa,2016,Naturwissenschaften,,Characterization of irritans mariner-like elements in the olive fruit fly Bactrocera oleae (Diptera: Tephritidae): evolutionary implications,,1,Primary,1,1,,0,Fruit flies,,0,4,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",5,University de Tunis,UOT Tunisia,,,2,,,,0,,France,France,2,1,3,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,,,,French Ministries of Higher Education and Scientific research,FMHESR,France,,,,,,,
137,51,Tunisia,North Africa,2013,J Econ Entomol,,Fitness improvement of mass-reared sterile males of Ceratitis capitata (Vienna 8 strain) (Diptera: Tephritidae) after gut enrichment with probiotics,,1,Primary,1,1,,1,Fruit flies,,0,1,0,"National centre of nuclear sciences and technologies, Tunisia",Other Institutions,79,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
140,52,Uganda,East Africa,2019,BMC Res Notes,,Low concentrations of Lactobacillus rhamnosus GG (Yoba(Â®)) are safe in male Drosophila melanogaster,,1,Primary,1,0,USA,1,Fruit flies,,1,3,2,"Kampala International University, Uganda",Other Institutions,79,Kabale University,KU Uganda,Makerere University,MU,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
141,52,Uganda,East Africa,2018,Evid Based Complement Alternat Med,,Combined Donepezil and Ethanolic Extract of Propolis Improved Memory Better Than Donepezil and Propolis Monotherapy in Wild Type Drosophila melanogaster,,1,Primary,1,0,USA,0,Fruit flies,,1,2,1,"Kampala International University, Uganda",Other Institutions,79,Augustine international university,AIU Uganda,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
142,52,Uganda,East Africa,2018,BMC Res Notes,,Low concentrations of monosodium glutamate (MSG) are safe in male Drosophila melanogaster,,1,Primary,1,0,USA,1,Fruit flies,,1,2,1,"Kampala International University, Uganda",Other Institutions,79,Makerere University,MU Uganda,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
168,52,Uganda,East Africa,2020,J Complement Integr Med,,Synergistic action of propolis with levodopa in the management of Parkinsonism in Drosophila melanogaster,,1,1,1,0,USA,1,Fruit flies,"Ayikobua ET, Kasolo J, Kasozi KI, Eze ED, Safiriyu A, Ninsiima HI, Kiyimba K, Namulema J, Jjesero E, Ssempijja F, Semuyaba I, Mwandah DC, Kimanje KR, Kalange M, Okpanachi AO, Nansunga M.",1,7,1,"Soroti University, Busitema University, Kampala International University, Makerere University, Kabale University,St. Augustine International University",Other Institutions,79,,,,,,,,2,2,,,,1,1,1,Kampala International University,,,,,,,,,,,,,,,
143,52,Uganda,East Africa,2009,PLoS One,,Searching for new clues about the molecular cause of endomyocardial fibrosis by way of in silico proteomics and analytical chemistry,,1,Primary,1,3,,0,C. elegans,,0,1,0,"Makerere University, Uganda",Other Institutions,79,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
145,54,Zimbabwe,Southaern Africa,2017,Chemosphere,,"Vitellogenin induction and reduced fecundity in zebrafish exposed to effluents from the City of Bulawayo, Zimbabwe",,1,Primary,1,1,,0,Zebrafish,,0,1,0,"National University of Science and Technology, Zimbabwe",Other Institutions,79,,,,,,,,,0,,,,1,1,2,,,,,,,Uppsala University,,,,,,,,,
144,54,Zimbabwe,Southaern Africa,2019,Sci Rep,,"Fruit fly identification, population dynamics and fruit damage during fruiting seasons of sweet oranges in Rusitu Valley, Zimbabwe",,1,Primary,1,1,,0,Fruit flies,,0,4,0,"Chinhoyi University of Technology, Zimbabwe",Other Institutions,79,,,,,1,1,,,1,Portugal,,,1,1,2,,,,,,,Porto neurosciences and neurologic disease research initiative,PNNDRI,Portugal,,,,,,,
