Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
,44,South Africa,Southaern Africa,2006,Oecologia. 2006 Aug;149(2):245-55. doi: 10.1007/s00442-006-0434-z. Epub 2006 Jun 14.,Body size patterns in Drosophila inhabiting a mesocosm: interactive effects of spatial variation in temperature and abundance,1,primary,1,1,,0,Drosophilidae,"Warren M, McGeoch MA, Nicolson SW, Chown SL.",0,1,0,University of Pretoria,,,,,,,,,,0,,,,,,,South African Medical Research council,MRC South Africa,South Africa,,,,Griffin Cancer Trust.,GCT UK,UK,,,,,,,
,44,South Africa,Southaern Africa,1994,Br J Cancer. 1994 Feb;69(2):264-73. doi: 10.1038/bjc.1994.50.,Conserved cis-elements bind a protein complex that regulates Drosophila ras2/rop bidirectional expression,1,primary,1,,,1,Drosophilidae,"Lightfoot K, Maltby L, Duarte R, Veale R, Segev O.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,South African Medical Research council,MRC South Africa,South Africa,,,,,,,,,,,,,
,44,South Africa,Southaern Africa,1994,Int J Oncol. 1994 Oct;5(4):925-9. doi: 10.3892/ijo.5.4.925.,"Purine nucleotide modulation of complex assembly between the Drosophila caccc and dre, binding-proteins in ras2 regulation",1,primary,1,,,1,Drosophilidae,"Tal A, Veale R, Segev O.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,South African Medical Research council,MRC South Africa,South Africa,University of the Witwatersrand,UW South Africa,,,,,,,,,,,
,44,South Africa,Southaern Africa,1995,Int J Oncol. 1995 Nov;7(5):1203-12. doi: 10.3892/ijo.7.5.1203.,Inhibition of dras2/rop expression in Xenopus oocytes by Drosophila nuclear extract,1,primary,1,,,1,Drosophilidae,"Duarte R, Stein L, Fabian B, Segev O.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,44,South Africa,Southaern Africa,1990,Biochem Genet. 1990 Oct;28(9-10):503-11. doi: 10.1007/BF00554378.,Nonlatitudinal environmental correlations for alcohol dehydrogenase in southern African populations of Drosophila melanogaster,1,primary,1,1,,0,Drosophilidae,"Getz C, Grant WS.",0,1,0, University of the Witwatersrand,,,,,,,,,,0,,,,,,,,,,FruitGro Science,,,Natural Sciences and Engineering Research Council of Canada,,,,,,,,,
,44,South Africa,Southaern Africa,2013,Naturwissenschaften. 2013 Mar;100(3):281-4. doi: 10.1007/s00114-013-1023-8. Epub 2013 Feb 23.,Ontogenetic variation in cold tolerance plasticity in Drosophila: is the Bogert effect bogus?,1,primary,1,1,,0,Drosophilidae,"Mitchell KA, Sinclair BJ, Terblanche JS.",1,1,0,stellenbosch university,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,44,South Africa,Southaern Africa,1983,Evolution. 1983 Nov;37(6):1283-1293. doi: 10.1111/j.1558-5646.1983.tb00244.x.,MATING BEHAVIOR AND THE EVOLUTION OF DROSOPHILA MAURITIANA,1,primary,1,1,,0,Drosophilidae,Robertson HM.,0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,44,South Africa,Southaern Africa,1991,Mutat Res. 1991 May;248(1):187-94. doi: 10.1016/0027-5107(91)90100-3.,Somatic mutation in the wings of Drosophila melanogaster females dysgenic due to P elements when reared at 29 degrees C,1,primary,1,1,,1,Drosophilidae,"Getz C, van Schaik N.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
106,48,Tanzania,East Africa,2012,J Insect Sci,Indigenous and invasive fruit fly diversity along an altitudinal transect in Eastern Central Tanzania,1,Primary,1,1,,0,Tephritidae,Diptera tephritidae,0,3,0,"sokoine university of agriculture SUA, Tanzania","SUA Sokoine, Tanzania",,,,,1,,,,0,,Belgium,,,0,0,,,,,,,,,,,,,,,,
107,48,Tanzania,East Africa,2009,Bull Entomol Res,"Host range and distribution of fruit-infesting pestiferous fruit flies (Diptera, Tephritidae) in selected areas of Central Tanzania",1,Primary,1,1,,0,Tephritidae,Diptera tephritidae,0,3,0,"sokoine university of agriculture SUA, Tanzania","SUA Sokoine, Tanzania",,,,,1,,,,0,,Belgium,,1,1,2,,,,,,,Belgium development cooperation,BDC,Belgium,,,,,,,
108,48,Tanzania,East Africa,2018,Insects,Spatial Distribution of Bactrocera dorsalis and Thaumatotibia leucotreta in Smallholder Avocado Orchards along Altitudinal Gradient of Taita Hills and Mount Kilimanjaro,1,Primary,1,1,,0,Tephritidae,Bactrocera dorsalis ,0,6,0,"dar es salaam institute of technology , Tanzania","DIT Dar es salaam, Tanzania",,,,,1,1,Kenya,2,3,Part of the research,,Finland,1,1,2,,,,,,,Ministry of foreign affairs of finland,MFA,Finland,,,,,,,
109,48,Tanzania,East Africa,2015,J Insect Sci,Developmental Biology of Zeugodacus cucurbitae (Diptera: Tephritidae) in Three Cucurbitaceous Hosts at Different Temperature Regimes,1,Primary,1,1,,0,Tephritidae,Zeugodacus cucurbitae,0,2,1,"LZARDI, Tanzania",LZARDI Tanzania,"sokoine university of agriculture SUA, Tanzania","SUA Sokoine, Tanzania",,,,,,,0,,,,2,1,3,Government of united republic of tanzania ,GURT Tanzania ,Tanzania,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,,,,
110,48,Tanzania,East Africa,2014,Bull Entomol Res,"Dominance of an invasive fruit fly species, Bactrocera invadens, along an altitudinal transect in Morogoro, Eastern Central Tanzania",1,Primary,1,1,,0,Tephritidae,Bactrocera invadens,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,,,,,1,,,,0,,Belgium,,2,1,2,,,,,,,flemish inter-university council VLIR  ,FIUS,Belgium,Belgium development cooperation,BDC,Belgium,,,,
111,48,Tanzania,East Africa,2010,J Econ Entomol,"Host use of Bactrocera latifrons, a new invasive tephritid species in Tanzania",1,Primary,1,1,,0,Tephritidae,Bactrocera latifrons,0,3,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,,,,,1,,,,0,,Belgium,,2,1,2,,,,,,,Belgian technical cooperation  ,BTC,Belgium,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,
112,48,Tanzania,East Africa,2015,Zookeys,"Niche partitioning among two Ceratitis rosa morphotypes and other Ceratitis pest species (Diptera, Tephritidae) along an altitudinal transect in Central Tanzania",1,Primary,1,1,,0,Tephritidae,Ceratitis rosa,0,2,0,"sokoine university of agriculture SUA, Tanzania",SUA Tanzania,,,,,1,,,,0,,Belgium,,2,1,2,,,,,,,FAO,FAO,Italy,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,,,,
113,51,Tunisia,North Africa,2020,Dev Genes Evol,Gene duplication and functional divergence of the zebrafish otospiralin genes,1,Primary,1,1,,0,Cyprinidae,,0,1,0,"Center of Biotechnology of Sfax, Tunisia",COB Tunisia,,,,,1,1,,,1,Germany,,,2,1,3,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,,,,German Ministry for Economic Cooperation and Development ,GMECD,Germany,,,,,,,
114,51,Tunisia,North Africa,2011,Biometals,Mechanisms underlying the protective effect of zinc and selenium against cadmium-induced oxidative stress in zebrafish Danio rerio,1,Primary,1,1,,0,Cyprinidae,,0,2,1,"Université de Sousse, Tunisia",US Tunisia,Université de Monastir,"UM, Monastir Tunisia",,,,,,,0,,,,3,1,1,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,University of Sousse,"US, Tunisia",Tunisia,,,,,,,,,,
115,51,Tunisia,North Africa,2011,Chem Biol Interact,Cadmium-induced ovarian pathophysiology is mediated by change in gene expression pattern of zinc transporters in zebrafish (Danio rerio),1,Primary,1,1,,0,Cyprinidae,,0,2,1,"Université de Sousse, Tunisia",US Tunisia,Université de Monastir,"UM, Monastir Tunisia",,,,,,,0,,,,3,1,1,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,University of Sousse,"US, Tunisia",Tunisia,,,,,,,,,,
116,51,Tunisia,North Africa,2019,Med Biol Eng Comput,The Helitron family classification using SVM based on Fourier transform features applied on an unbalanced dataset,1,Primary,1,3,,0,Rhabditidae,,0,2,1,"University Tunis El Manar, Tunisia","UT El Manar, Tunisia",University of Carthage,"UC Carthage, Tunisia",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
117,51,Tunisia,North Africa,2015,Med Biol Eng Comput,A new way to visualize DNA's base succession: the Caenorhabditis elegans chromosome landscapes,1,Primary,1,3,,0,Rhabditidae,,0,2,1,"University Tunis El Manar, Tunisia","UT El Manar, Tunisia",University of Carthage,"UC Carthage, Tunisia",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
118,51,Tunisia,North Africa,2015,Proteins,Exploring proteome-wide occurrence of clusters of charged residues in eukaryotes,1,Primary,1,3,,0,Rhabditidae,,0,1,0,"Center of Biotechnology of Sfax, Tunisia",COB Sfax Tunisia,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
119,51,Tunisia,North Africa,2014,EURASIP J Bioinform Syst Biol,Wavelet analysis of frequency chaos game signal: a time-frequency signature of the C. elegans DNA,1,Primary,1,3,,0,Rhabditidae,,0,2,1,"University Tunis El Manar, Tunisia","UT El Manar, Tunisia",University of Carthage,"UC Carthage, Tunisia",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
120,51,Tunisia,North Africa,2018,PLoS One,Evaluation of Providencia rettgeri pathogenicity against laboratory Mediterranean fruit fly strain (Ceratitis capitata),1,Primary,1,1,,1,Tephritidae,,0,2,0,"National centre of nuclear sciences and technologies, Tunisia",NCNST Tunisia,,,,,1,,,,0,,France,,,0,0,,,,,,,,,,,,,,,,
121,51,Tunisia,North Africa,2018,Hum Mutat,In vitro functional characterization of the novel DHH mutations p.(Asn337Lysfs*24) and p.(Glu212Lys) associated with gonadal dysgenesis,1,Primary,1,1,,0,Drosophilidae,,0,5,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",Charles Nicolle Hospital,CNH Tunisia,,,2,,,,0,,Germany,Germany,1,1,2,,,,,,,"University of luebeck, Germany ",UL,Germany,,,,,,,
122,51,Tunisia,North Africa,2016,Naturwissenschaften,Characterization of irritans mariner-like elements in the olive fruit fly Bactrocera oleae (Diptera: Tephritidae): evolutionary implications,1,Primary,1,1,,0,Tephritidae,,0,4,1,"University of Tunis El Manar, Tunisia","UT El Manar, Tunisia",University de Tunis,UOT Tunisia,,,2,,,,0,,France,France,2,1,3,Tunisian Ministry for Higher Education and Scientific Research,TMHESR Tunisia,Tunisia,,,,French Ministries of Higher Education and Scientific research,FMHESR,France,,,,,,,
123,51,Tunisia,North Africa,2013,J Econ Entomol,Fitness improvement of mass-reared sterile males of Ceratitis capitata (Vienna 8 strain) (Diptera: Tephritidae) after gut enrichment with probiotics,1,Primary,1,1,,1,Tephritidae,,0,1,0,"National centre of nuclear sciences and technologies, Tunisia",NCNST Tunisia,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
124,52,Uganda,East Africa,2018,Evid Based Complement Alternat Med,Combined Donepezil and Ethanolic Extract of Propolis Improved Memory Better Than Donepezil and Propolis Monotherapy in Wild Type Drosophila melanogaster,1,Primary,1,0,USA,0,Drosophilidae,,1,2,1,"Kampala International University, Uganda",KIU Uganda,Augustine international university,AIU Uganda,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
125,52,Uganda,East Africa,2018,BMC Res Notes,Low concentrations of monosodium glutamate (MSG) are safe in male Drosophila melanogaster,1,Primary,1,0,USA,1,Drosophilidae,,1,2,1,"Kampala International University, Uganda",KIU Uganda,Makerere University,MU Uganda,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
126,52,Uganda,East Africa,2019,BMC Res Notes,Low concentrations of Lactobacillus rhamnosus GG (Yoba(Â®)) are safe in male Drosophila melanogaster,1,Primary,1,0,USA,1,Drosophilidae,,1,3,2,"Kampala International University, Uganda",KIU Uganda,Kabale University,KU Uganda,Makerere University,MU,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
127,52,Uganda,East Africa,2009,PLoS One,Searching for new clues about the molecular cause of endomyocardial fibrosis by way of in silico proteomics and analytical chemistry,1,Primary,1,3,,0,Rhabditidae,,0,1,0,"Makerere University, Uganda",MU Uganda,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
128,54,Zimbabwe,Southaern Africa,2019,Sci Rep,"Fruit fly identification, population dynamics and fruit damage during fruiting seasons of sweet oranges in Rusitu Valley, Zimbabwe",1,Primary,1,1,,0,Tephritidae,,0,4,0,"Chinhoyi University of Technology, Zimbabwe",CUT Zimbabwe,,,,,1,1,,,1,Portugal,Portugal,Portugal,1,1,2,,,,,,,Porto neurosciences and neurologic disease research initiative,PNNDRI,Portugal,,,,,,,
129,54,Zimbabwe,Southaern Africa,2017,Chemosphere,"Vitellogenin induction and reduced fecundity in zebrafish exposed to effluents from the City of Bulawayo, Zimbabwe",1,Primary,1,1,,0,Cyprinidae,,0,1,0,"National University of Science and Technology, Zimbabwe",NUST Zimbabwe,,,,,,,,,0,,,,1,1,2,,,,,,,Uppsala University,,,,,,,,,
,,,,2018,J Insect Physiol,A transcriptomics assessment of oxygen-temperature interactions reveals novel candidate genes underlying variation in thermal tolerance and survival,1,primary,1,1,0,0,Drosophilidae,"Boardman L, Mitchell KA, Terblanche JS, SÃ¸rensen JG.",0,2,0,stellenbosch university,,,,,,1,1,,,1,denmark,,,,,,,,,,,,,,,,,,,,,
,,,,2010,Biol Rev Camb Philos Soc. 2010 Feb;85(1):139-69. doi: 10.1111/j.1469-185X.2009.00097.x. Epub 2009 Dec 10.,Body size variation in insects: a macroecological perspective,1,review,1,0,0,0,Drosophilidae,"Chown SL, Gaston KJ.",0,2,0,stellenbosch university,,,,,,1,1,,,1,UK,,,,,,,,,,,,,,,,,,,,,
,,,,2015,Int J Mol Sci. 2015 May 6;16(5):10242-66. doi: 10.3390/ijms160510242.,The Drosophila retinoblastoma binding protein 6 family member has two isoforms and is potentially involved in embryonic patterning,1,primary,1,1,0,0,Drosophilidae,"Hull R, Oosthuysen B, Cajee UF, Mokgohloa L, Nweke E, Antunes RJ, Coetzer TH, Ntwasa M.",1,2,1, University of the Witwatersrand,,University of KwaZulu-Natal (Pietermaritzburg campus),,,,0,,,,0,,,,,,,,,,,,,The Carnegie Corporation Transformation Program,,,,,,,,,
,,,,2011,J Exp Biol. 2011 Nov 15;214(Pt 22):3713-25. doi: 10.1242/jeb.061283.,Ecologically relevant measures of tolerance to potentially lethal temperatures,1,review,1,0,,,Drosophilidae,"Terblanche JS, Hoffmann AA, Mitchell KA, Rako L, le Roux PC, Chown SL.",0,1,,stellenbosch university,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,2019,Comp Biochem Physiol A Mol Integr Physiol. 2019 Oct;236:110532. doi: 10.1016/j.cbpa.2019.110532. Epub 2019 Jul 24.,Exploring thermal flight responses as predictors of flight ability and geographic range size in Drosophila,1,primary,1,1,,0,Drosophilidae,"De Araujo LI, Karsten M, Terblanche JS.",0,1,0,stellenbosch university,,,,,,0,,,,0,,,,,,,,,,,,,"DST-NRF Centre of Excellence for Invasion Biology (C?I?B), Stellenbosch University, South Africa.",,,SATI,,,,,,
,,,,2014,PLoS Negl Trop Dis. 2014 Apr 24;8(4):e2663. doi: 10.1371/journal.pntd.0002663. eCollection 2014 Apr.,Odorant and gustatory receptors in the tsetse fly Glossina morsitans morsitans,1,review,1,,,,Drosophilidae,"Obiero GF, Mireji PO, Nyanjom SR, Christoffels A, Robertson HM, Masiga DK.",1,4,0,"University of the Western Cape, Bellville, South Africa",,,,,,1,1,Kenya,2,3,kenya,USA,,,,,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,German Academic Exchange Service,DAAD,Germany,,,,,,,
,,,,2015,Eur J Neurosci. 2015 May;41(9):1113-25. doi: 10.1111/ejn.12872. Epub 2015 Mar 11.,"Evidence for a common biological pathway linking three Parkinson's disease-causing genes: parkin, PINK1 and DJ-1",1,review,1,,,,Drosophilidae,"van der Merwe C, Jalali Sefid Dashti Z, Christoffels A, Loos B, Bardien S.",1,2,1,stellenbosch university,,University of the Western Cape.,,,,0,,,,0,,,,,,,South African Medical Research Council,,,Harry Crossley Foundation,,,,,,,,,,,,
,,,,2004,Cell Mol Life Sci. 2004 Nov;61(21):2677-86. doi: 10.1007/s00018-004-4239-0.,Structure of angiotensin I-converting enzyme,1,review,1,,,,Drosophilidae,"Sturrock ED, Natesh R, van Rooyen JM, Acharya KR.",0,2,0,University of Cape Town,,,,,,1,1,,,1,UK,,,,,,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,Wellcome Trust,WT,UK,,,,,,,
,,,,2017,PLoS One. 2017 Sep 13;12(9):e0183858. doi: 10.1371/journal.pone.0183858. eCollection 2017.,"Hsp70/J-protein machinery from Glossina morsitans morsitans, vector of African trypanosomiasis",1,primary,1,,,,Drosophilidae,"Bentley SJ, Boshoff A.",0,2,0,"Rhodes University, Grahamstown",,,,,,1,,,,0,,,,,,,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
,,,,2010,Anticancer Drugs. 2010 Nov;21(10):945-57. doi: 10.1097/CAD.0b013e32833e2f60.,Glycolytic flux occurs in Drosophila melanogaster recovering from camptothecin treatment,1,primary,1,1,,0,Drosophilidae,"Hull R, Ntwasa MM.",0,1,0,University of the Witwatersrand,,,,,,1,1,,,1,canada,,,,,,,,,NSERC Discovery grants to BJS,,,Canadian Foundation for Innovation,,,Foreign Affairs and International Trade Canada (DFAIT) grant to CN,DFAIT,Canada,,,,
,,,,2016,J Evol Biol. 2011 Sep;24(9):1927-38. doi: 10.1111/j.1420-9101.2011.02324.x. Epub 2011 Jun 10.,Basal cold but not heat tolerance constrains plasticity among Drosophila species (Diptera: Drosophilidae),1,primary,1,1,canada,0,Drosophilidae,"Nyamukondiwa C, Terblanche JS, Marshall KE, Sinclair BJ.",1,2,0,stellenbosch university,,,,,,1,,,,0,,,,,,,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
,,,,2014,Front Genet. 2014 Aug 6;5:264. doi: 10.3389/fgene.2014.00264. eCollection 2014.,The use of semantic similarity measures for optimally integrating heterogeneous Gene Ontology data from large scale annotation pipelines,1,primary,1,,,,Drosophilidae,"Mazandu GK, Mulder NJ.",0,1,0,University of Cape Town,,,,,,0,,,,0,,,,,,,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
,,,,2013,Comp Biochem Physiol Part D Genomics Proteomics. 2013 Sep;8(3):231-43. doi: 10.1016/j.cbd.2013.06.001. Epub 2013 Jun 10.,The Leu-Arg-Glu (LRE) adhesion motif in proteins of the neuromuscular junction with special reference to proteins of the carboxylesterase/cholinesterase family,1,primary,1,,,,Drosophilidae,"Johnson G, Moore SW.",0,1,0,stellenbosch university,,,,,,0,,,,0,,,,,,,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
,,,,2005,Biochim Biophys Acta. 2005 Mar 10;1727(3):169-76. doi: 10.1016/j.bbaexp.2005.01.002. Epub 2005 Jan 28.,"SNAMA, a novel protein with a DWNN domain and a RING finger-like motif: a possible role in apoptosis",1,primary,1,0,uk,1,Drosophilidae,"Mather A, Rakgotho M, Ntwasa M.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,National Research Foundation (NRF) of South Africa,NRFSA South Africa,South Africa,,,,,,,,,,,,,
,,,,2006,Oecologia. 2006 Aug;149(2):245-55. doi: 10.1007/s00442-006-0434-z. Epub 2006 Jun 14.,Body size patterns in Drosophila inhabiting a mesocosm: interactive effects of spatial variation in temperature and abundance,1,primary,1,1,,0,Drosophilidae,"Warren M, McGeoch MA, Nicolson SW, Chown SL.",0,1,0,University of Pretoria,,,,,,,,,,0,,,,,,,South African Medical Research council,MRC South Africa,South Africa,,,,Griffin Cancer Trust.,GCT UK,UK,,,,,,,
,,,,1994,Br J Cancer. 1994 Feb;69(2):264-73. doi: 10.1038/bjc.1994.50.,Conserved cis-elements bind a protein complex that regulates Drosophila ras2/rop bidirectional expression,1,primary,1,,,1,Drosophilidae,"Lightfoot K, Maltby L, Duarte R, Veale R, Segev O.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,South African Medical Research council,MRC South Africa,South Africa,,,,,,,,,,,,,
,,,,1994,Int J Oncol. 1994 Oct;5(4):925-9. doi: 10.3892/ijo.5.4.925.,"Purine nucleotide modulation of complex assembly between the Drosophila caccc and dre, binding-proteins in ras2 regulation",1,primary,1,,,1,Drosophilidae,"Tal A, Veale R, Segev O.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,South African Medical Research council,MRC South Africa,South Africa,University of the Witwatersrand,UW South Africa,,,,,,,,,,,
,,,,1995,Int J Oncol. 1995 Nov;7(5):1203-12. doi: 10.3892/ijo.7.5.1203.,Inhibition of dras2/rop expression in Xenopus oocytes by Drosophila nuclear extract,1,primary,1,,,1,Drosophilidae,"Duarte R, Stein L, Fabian B, Segev O.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,1990,Biochem Genet. 1990 Oct;28(9-10):503-11. doi: 10.1007/BF00554378.,Nonlatitudinal environmental correlations for alcohol dehydrogenase in southern African populations of Drosophila melanogaster,1,primary,1,1,,0,Drosophilidae,"Getz C, Grant WS.",0,1,0, University of the Witwatersrand,,,,,,,,,,0,,,,,,,,,,FruitGro Science,,,Natural Sciences and Engineering Research Council of Canada,,,,,,,,,
,,,,2013,Naturwissenschaften. 2013 Mar;100(3):281-4. doi: 10.1007/s00114-013-1023-8. Epub 2013 Feb 23.,Ontogenetic variation in cold tolerance plasticity in Drosophila: is the Bogert effect bogus?,1,primary,1,1,,0,Drosophilidae,"Mitchell KA, Sinclair BJ, Terblanche JS.",1,1,0,stellenbosch university,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,1983,Evolution. 1983 Nov;37(6):1283-1293. doi: 10.1111/j.1558-5646.1983.tb00244.x.,MATING BEHAVIOR AND THE EVOLUTION OF DROSOPHILA MAURITIANA,1,primary,1,1,,0,Drosophilidae,Robertson HM.,0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,1991,Mutat Res. 1991 May;248(1):187-94. doi: 10.1016/0027-5107(91)90100-3.,Somatic mutation in the wings of Drosophila melanogaster females dysgenic due to P elements when reared at 29 degrees C,1,primary,1,1,,1,Drosophilidae,"Getz C, van Schaik N.",0,1,0, University of the Witwatersrand,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
